#Claim Number,Claim Occurrence 1,Claim Occurrence 2,Borough,Date Occurred,Date Claimed,Amount,name,longitude,latitude
2013PI007075,1248 CLAY AV,,BRONX,2/26/2013,,,2013PI007075,-73.909844,40.833246
2013PI007086,31 E 21 ST,,BROOKLYN,3/5/2013,8/30/2013,9000,2013PI007086,-73.960344,40.653721
2013PI007174,1015 E 179 ST,,BRONX,1/2/2013,,,2013PI007174,-73.879429,40.842564
2013PI007433,175 ST & AUDUBON AV,,MANHATTAN,2/11/2013,,,2013PI007433,-73.935182,40.844854
2013PI007489,1 POST AV,,MANHATTAN,1/13/2013,,,2013PI007489,-73.924876,40.862424
2013PI007497,65 TOMPKINS AV,,BROOKLYN,3/5/2013,,,2013PI007497,-73.94515,40.696967
2013PI007651,97-20 KINGS HY,,BROOKLYN,2/20/2013,,,2013PI007651,-73.988473,40.606574
2013PI007660,818 E 167 ST,,BRONX,2/9/2013,,,2013PI007660,-73.899696,40.826197
2013PI007684,818 E 167 ST,,BRONX,2/9/2013,,,2013PI007684,-73.899696,40.826197
2013PI007755,8 AV & 34 ST,,MANHATTAN,1/18/2013,4/26/2013,3000,2013PI007755,-73.993465,40.752199
2013PI007770,430 SCHENECTADY AV,,BROOKLYN,2/17/2013,,,2013PI007770,-73.934681,40.663802
2013PI007932,1569 METROPOLITAN AV,,BRONX,1/7/2013,,,2013PI007932,-73.85884,40.840018
2013PI007984,1515 MACOMBS RD,,BRONX,1/24/2013,,,2013PI007984,-73.91786,40.844143
2013PI008194,56 ST,ROOSEVELT AV,QUEENS,3/7/2013,,,2013PI008194,-73.908631,40.74512
2013PI008228,140 FULTON ST,,MANHATTAN,1/24/2013,,,2013PI008228,-74.008424,40.710311
2013PI008278,726 MILLER AV,3RD FL,BROOKLYN,1/21/2013,,,2013PI008278,-73.88857,40.662597
2013PI008306,2514 CRUGER AV,,BRONX,1/5/2013,,,2013PI008306,-73.866111,40.86368
2013PI008421,1789 WEBSTER AV,,BRONX,3/2/2013,5/14/2014,17500,2013PI008421,-73.902526,40.845635
2013PI008457,136-12 41 AV,,QUEENS,3/11/2013,2/7/2014,20000,2013PI008457,-73.829078,40.758668
2013PI008560,2355 BRIGHAM ST,,BROOKLYN,2/8/2013,,,2013PI008560,-73.933819,40.595162
2013PI008603,425 GRAND AV,,BROOKLYN,3/12/2013,,,2013PI008603,-73.961375,40.683173
2013PI008653,574 NINTH AV,,MANHATTAN,2/14/2013,,,2013PI008653,-73.992591,40.758045
2013PI008657,1018 E 163 ST,,BRONX,3/16/2013,1/8/2014,40000,2013PI008657,-73.892443,40.820611
2013PI008661,1018 E 163 ST,,BRONX,3/16/2013,1/8/2014,40000,2013PI008661,-73.892443,40.820611
2013PI008668,558 GRAND CO,149 ST,BRONX,2/17/2013,5/30/2014,35000,2013PI008668,-73.926573,40.818927
2013PI008687,138-46 NORTHERN BL,,QUEENS,1/8/2013,,,2013PI008687,-73.826546,40.763629
2013PI008724,1262 SPOFFORD AV,,BRONX,1/19/2013,,,2013PI008724,-73.887981,40.814022
2013PI008770,2505 3 AV,,BRONX,1/11/2013,,,2013PI008770,-73.928565,40.81048
2013PI008807,16-00 HAZEN ST,,BRONX,2/8/2013,,,2013PI008807,-73.881712,40.790389
2013PI008809,997 E 179 ST,,BRONX,3/8/2013,,,2013PI008809,-73.879429,40.842564
2013PI008911,920 FLATBUSH AV,,BROOKLYN,1/6/2013,,,2013PI008911,-73.9584,40.649079
2013PI008922,485 17 ST,APT 3L,BROOKLYN,1/16/2013,,,2013PI008922,-73.982402,40.658491
2013PI020660,112 ST & ST NICHOLAS AV,7 AV,MANHATTAN,6/28/2013,,,2013PI020660,-73.952459,40.799851
2013PI029889,PROSPECT AV & 149 ST,,BRONX,9/17/2013,,,2013PI029889,-73.904468,40.812291
2013PI032089,9 AV & 25 ST,,MANHATTAN,7/18/2013,,,2013PI032089,-74.000398,40.747777
2013PI027134,SHERIDAN AV & E 167 ST,,BRONX,8/7/2013,,,2013PI027134,-73.916644,40.834143
2013PI018691,COLLEGE AV & E 166 ST,,BRONX,4/10/2013,,,2013PI018691,-73.914853,40.830269
2013PI021743,103 ST & COLUMBUS AV,,MANHATTAN,6/18/2013,,,2013PI021743,-73.964289,40.797314
2013PI023875,E 188 ST & PARK AV,,BRONX,6/22/2013,,,2013PI023875,-73.891921,40.859253
2013PI014724,GUY BREWER BL & 119 AV,,QUEENS,4/20/2013,,,2013PI014724,-73.781919,40.68241
2013PI017092,BARNES AV & E 217 ST,E 218 ST,BRONX,4/4/2013,,,2013PI017092,-73.860702,40.881257
2013PI018005,ASTORIA BL & 81 ST,82 ST,QUEENS,6/21/2013,,,2013PI018005,-73.888067,40.765188
2013PI012630,BAXTER ST & WALKER ST,,MANHATTAN,5/7/2013,,,2013PI012630,-73.99945,40.717338
2013PI012866,NOSTRAND AV & SNYDER AV,,BROOKLYN,3/13/2013,,,2013PI012866,-73.949373,40.648932
2013PI008946,3RD AVE & 141 STREET,,BRONX,1/4/2013,4/2/2014,7500,2013PI008946,-73.924684,40.812394
2014PI000153,JEROME AV & E 184 ST,,BRONX,9/30/2013,,,2014PI000153,-73.902548,40.860585
2014PI001991,UTICA AV & PRESIDENT ST,,BROOKLYN,12/15/2013,,,2014PI001991,-73.931293,40.667025
2013PI028860,ALBANY AV & HERKIMER ST,,BROOKLYN,9/9/2013,,,2013PI028860,-73.938509,40.679043
2013PI013562,LEX AV & 126 ST,,MANHATTAN,4/20/2013,,,2013PI013562,-73.93693,40.805053
2013PI008924,MORRIS AV & E 161 ST,,BRONX,1/26/2013,,,2013PI008924,-73.918461,40.825586
2013PI015505,9 AV & 59 ST,,MANHATTAN,5/23/2013,1/24/2014,22500,2013PI015505,-73.984766,40.769235
2013PI014620,8 AV & W 137 ST,,MANHATTAN,4/8/2013,,,2013PI014620,-73.945599,40.817807
2013PI005732,7 AV & 48 ST,,MANHATTAN,2/15/2013,,,2013PI005732,-73.984177,40.75985
2013PI012191,5 AV & 36 ST,,MANHATTAN,2/12/2013,,,2013PI012191,-73.983623,40.749733
2013PI011106,PARSONS BL & HILLSIDE AV,,QUEENS,4/17/2013,1/29/2014,50000,2013PI011106,-73.802788,40.707724
2013PI024700,108 AV & 160 ST,,QUEENS,7/4/2013,,,2013PI024700,-73.793293,40.69571
2013PI027195,MYRTLE AV & PRINCE ST,,BROOKLYN,6/7/2013,,,2013PI027195,-73.982512,40.693622
2013PI027440,8 AV & 42 ST,,MANHATTAN,9/14/2013,,,2013PI027440,-73.989794,40.757241
2013PI028417,MONTEREY AV & 180 ST,,BRONX,10/13/2013,,,2013PI028417,-73.893139,40.850254
2013PI028524,BROADWAY & 34 ST,,MANHATTAN,10/10/2013,,,2013PI028524,-73.98794,40.749862
2013PI030292,149 AV & 183 ST,,QUEENS,10/22/2013,,,2013PI030292,-73.764743,40.658587
2013PI028902,ALBANY AV & HERKIMER ST,,BROOKLYN,9/9/2013,,,2013PI028902,-73.938509,40.679043
2013PI028496,PITKIN & EUCLID AV,,BROOKLYN,9/12/2013,,,2013PI028496,-73.871915,40.675412
2014PI002513,E 165 ST & CARROLL PL,,BRONX,12/4/2013,,,2014PI002513,-73.91947,40.830547
2013PI025917,26 AV & 212 ST,,QUEENS,7/7/2013,,,2013PI025917,-73.777695,40.778169
2013PI018520,BLAKE AV & WILLIAMS AV,,BROOKLYN,4/16/2013,,,2013PI018520,-73.898551,40.667292
2013PI019504,FULTON AV & E 168 ST,,BRONX,4/30/2013,,,2013PI019504,-73.904507,40.830634
2013PI020151,WEBSTER AV & 195 ST,,BRONX,6/5/2013,,,2013PI020151,-73.888124,40.864264
2014PI000876,8 AV & 52 ST,,MANHATTAN,9/13/2013,,,2014PI000876,-73.985194,40.763553
2013PI021212,BAY 44 ST & SHORE PKWY,,BROOKLYN,8/11/2013,,,2013PI021212,-73.991868,40.588489
2013PI029704,ALBANY AV & HERKIMER ST,,BROOKLYN,9/9/2013,,,2013PI029704,-73.938509,40.679043
2013PI025517,E 241 ST & BAYCHESTER AV,,BRONX,7/30/2013,,,2013PI025517,-73.846939,40.901528
2014PI015358,120 AV & 134 ST,,QUEENS,11/26/2013,,,2014PI015358,-73.804618,40.675309
2013PI019314,JAMAICA AV & 138 ST,,QUEENS,5/9/2013,,,2013PI019314,-73.814962,40.702507
2013PI022306,BROOKLYN AV & SNYDER AV,,BROOKLYN,7/28/2013,,,2013PI022306,-73.943607,40.649287
2013PI024481,BALTIC ST & HOYT ST,BOND ST,BROOKLYN,8/10/2013,,,2013PI024481,-73.98956,40.683964
2013PI031375,NOSTRAND AV &  QUINCY ST,,BROOKLYN,9/28/2013,,,2013PI031375,-73.950884,40.68694
2013PI022329,E 148 ST & BERGEN AV,,BRONX,5/27/2013,,,2013PI022329,-73.917737,40.815167
2013PI031395,3 AV & 149 ST,,BRONX,11/11/2013,,,2013PI031395,-73.917689,40.816089
2014PI002250,69 ST & QUEENS BLVD,,QUEENS,11/29/2013,,,2014PI002250,-73.895853,40.740281
2013PI029976,ALBANY AV & HERKIMER ST,,BROOKLYN,9/9/2013,,,2013PI029976,-73.938509,40.679043
2013PI022967,TREMONT AV & JEROME AV,,BRONX,2/13/2013,,,2013PI022967,-73.909219,40.85181
2013PI032459,1 AV & 105 ST,,MANHATTAN,11/19/2013,,,2013PI032459,-73.94056,40.788958
2013PI026068,GARRISON AV & IRVINE ST,,BRONX,7/9/2013,,,2013PI026068,-73.888878,40.820012
2014PI003162,AMSTERDAM AV & W 99 ST,,MANHATTAN,11/7/2013,,,2014PI003162,-73.968956,40.795998
2014PI010128,WILLIS AV & E 137 ST,,BRONX,12/23/2013,,,2014PI010128,-73.923373,40.808441
2013PI018048,172-20 HILLSIDE AV,,QUEENS,3/12/2013,,,2013PI018048,-73.789978,40.711799
2013PI018079,701 GATES AV,,BROOKLYN,6/19/2013,,,2013PI018079,-73.93756,40.68796
2013PI018132,92 TOMPKINS AV,,BROOKLYN,5/21/2013,,,2013PI018132,-73.946755,40.696185
2013PI018212,2785 3 AV,,BRONX,4/19/2013,,,2013PI018212,-73.919883,40.815201
2013PI018227,2785 3 AV,,BRONX,4/19/2013,,,2013PI018227,-73.919883,40.815201
2013PI018240,2083 LEXINGTON AV,,MANHATTAN,6/1/2013,,,2013PI018240,-73.937042,40.804527
2013PI018385,97-02 95 AV,,QUEENS,7/4/2013,,,2013PI018385,-73.845288,40.687535
2013PI018386,97-02 95 AV,,QUEENS,7/4/2013,,,2013PI018386,-73.845288,40.687535
2013PI018505,1302 WESTCHESTER AV,,BRONX,4/27/2013,,,2013PI018505,-73.886296,40.827554
