#population,latitude,longitude,income,errormargin
2396,31.420739,-85.574212,39063,12190
2542,31.482744,-85.643103,56815,11924
2049,31.457127,-85.627788,27727,8503
3518,31.450199,-85.642929,26644,5860
3361,31.396734,-85.67031,43188,9733
4351,31.427096,-85.649092,54419,9015
4893,31.318687,-85.772433,51111,11227
4387,31.305843,-85.706342,46016,8028
2696,31.262603,-85.730229,45833,13448
4034,31.301051,-85.566276,45417,7363
5492,31.3208,-85.474808,36959,5309
6753,32.484486,-86.958775,36579,9648
2550,32.410532,-87.100481,28958,11060
2327,32.503077,-87.057068,44196,5409
3791,32.438792,-87.033836,33813,10255
3150,32.426781,-87.01789,13821,2071
3811,32.414184,-87.008389,12112,2443
3811,32.416951,-87.029135,22156,5219
1855,32.405417,-87.069612,68206,16652
1602,32.40077,-87.047689,38000,20232
2789,32.423219,-87.04994,23684,9261
2804,32.316226,-87.229859,17127,5650
1274,32.201948,-87.168843,18304,9570
1345,32.284332,-86.985988,30625,10282
1754,32.375519,-87.019495,28036,7005
4204,32.354478,-86.969699,29000,8599
5937,34.734617,-85.641989,37883,4586
3530,34.618308,-85.72589,34556,10959
6908,34.526436,-85.859108,35855,4581
6483,34.504586,-85.798426,52023,5000
5373,34.435851,-85.953289,39645,4115
6393,34.34815,-86.011642,35164,6539
8628,34.262089,-86.046299,38263,4839
4498,34.268667,-85.858428,27841,7257
3809,34.39954,-85.766654,32446,9377
3914,34.394213,-85.701978,36118,7457
3258,34.455487,-85.730922,25669,3368
2107,34.508986,-85.687182,57093,10995
5967,34.464406,-85.676714,32571,6743
4304,34.57642,-85.604368,36719,4573
10104,32.613289,-86.332966,46352,7943
4757,32.68683,-86.209776,50900,3797
2464,32.70665,-85.977823,56389,13300
7712,32.542791,-85.94687,52115,12533
4695,32.62987,-86.038446,46399,6140
7405,32.59165,-86.180929,57167,10946
6257,32.46525,-86.123752,78304,13671
3678,32.519692,-86.158886,71563,19973
5784,32.554208,-86.230727,43373,5549
6234,32.549611,-86.389146,72851,10225
3699,32.547457,-86.332293,56204,10459
6516,32.505408,-86.384251,44410,10772
4221,32.509059,-86.357015,61406,8060
1809,32.504126,-86.330469,42813,12050
3968,32.458486,-86.382442,41429,15347
5955,31.089048,-87.002706,23832,5592
4361,31.117859,-87.138001,37450,9677
4516,31.154869,-87.064908,33484,3480
1739,31.117628,-87.06529,27624,4516
3632,31.04375,-87.269502,29631,3395
5744,31.15171,-87.483935,35139,5462
4819,31.043966,-87.510802,31198,5627
4035,31.039023,-87.468907,20946,3825
3518,31.014907,-87.474586,44735,6098
3660,34.034468,-85.974094,22881,5975
2684,34.025202,-86.010306,16733,1975
3866,34.047418,-86.017903,46652,6216
1814,34.028607,-86.048443,27551,3161
1964,34.016452,-86.060463,21929,2159
1376,34.023251,-86.039091,19597,8464
1089,34.01901,-86.023234,19579,8496
2698,34.003572,-86.03979,25344,3925
1286,34.011234,-86.020204,16659,9287
4729,33.962352,-86.01041,69250,13891
3546,34.008094,-86.012221,30967,3780
2571,34.004235,-85.985799,30016,7502
3524,33.986253,-85.980731,41506,7652
1638,33.981873,-85.955956,25017,8066
2059,34.046371,-86.074285,33105,6474
5518,34.000678,-86.107501,31925,6578
2918,34.013834,-86.157663,33375,9577
3471,33.961422,-86.043548,34012,5831
5504,33.93336,-86.072945,54009,13061
8191,33.903926,-86.028965,71319,9999
4988,33.950777,-85.93455,50992,5898
5295,33.995645,-85.893125,56974,6327
3984,34.009139,-85.815016,43594,25089
3769,34.063083,-85.904987,39570,3754
2953,34.113575,-85.946619,39348,10649
1721,34.133172,-86.019172,40625,22300
4613,34.163572,-86.087216,43935,6112
4765,34.126222,-86.151556,45292,6365
5302,34.062026,-86.263621,33573,3236
2934,34.000496,-85.969384,16747,3591
1469,33.817641,-87.662425,42981,11083
3669,33.86034,-87.809726,38342,7388
4499,33.69965,-87.856062,30759,12731
4054,33.661658,-87.81373,29144,5867
3550,33.658155,-87.61624,33354,4422
4008,34.520231,-87.6625,45474,9140
5373,34.51777,-87.723941,32904,7224
2378,34.490677,-87.832658,42317,8045
3919,34.50929,-87.745161,37681,9093
3452,34.457456,-87.689518,35905,3474
2652,34.464189,-88.121175,31947,7091
2231,34.438573,-88.092893,34512,9423
1795,34.36054,-88.024387,46042,13691
5896,34.361853,-87.692588,40246,8764
5098,31.103453,-86.070458,26452,4988
2323,31.16237,-85.884096,37668,10834
5412,31.042578,-85.888742,29349,5575
5907,31.08137,-85.720754,31586,3648
4288,31.113694,-85.603789,39909,6286
3762,31.112182,-85.522491,45662,9322
1814,32.974155,-88.000723,28077,8089
4410,32.863977,-87.888899,23871,6799
2821,32.685807,-87.929586,21988,6136
3534,32.979322,-87.615112,41524,4330
1582,32.877595,-87.702836,32792,7218
1590,32.77388,-87.540054,34524,9471
2093,32.751221,-87.710781,27463,9009
5399,32.690061,-87.605914,23606,3720
1562,32.543523,-87.617065,25184,6026
1910,31.597839,-85.327326,34800,7865
2962,31.562529,-85.254107,27288,8871
3093,31.637578,-85.1477,37165,5535
1842,31.434261,-85.328629,34125,6782
5951,31.349471,-85.328095,58378,10499
1544,31.402135,-85.166969,40375,8889
4949,31.227597,-85.571848,53178,6251
9001,31.223197,-85.463397,76671,3271
8142,31.250402,-85.456388,70322,3623
3928,31.254508,-85.41246,36789,3400
3589,31.271691,-85.434438,37151,2721
2484,31.234725,-85.417885,56888,3869
3458,31.219327,-85.418812,43909,2717
2471,31.228752,-85.399822,12930,1872
2662,31.208898,-85.410782,33947,2919
7774,31.176296,-85.42801,43516,3969
4657,31.189016,-85.365089,44640,3446
5145,31.20832,-85.376112,28313,1838
3849,31.194714,-85.394614,36332,2156
2539,31.215729,-85.392267,16641,2338
3093,31.227223,-85.370332,22179,3320
4173,31.252305,-85.383108,27683,3518
5377,31.268507,-85.299605,39227,3828
1402,31.27801,-85.135043,24574,9114
2305,31.09399,-85.130332,36774,6144
7572,31.18364,-85.260742,41796,2679
5683,31.08602,-85.311662,41935,3787
7294,31.117171,-85.438244,45054,8489
6749,34.870391,-85.660401,43018,12715
3516,34.943732,-85.729594,36250,2920
5897,34.865205,-85.859685,42715,7304
2119,34.831561,-86.185953,40357,8549
3518,34.670863,-86.246473,34052,6450
5951,34.731558,-86.037808,32546,8390
4272,34.629825,-86.087091,34700,4595
4059,34.667073,-86.034051,38478,8595
5613,34.647456,-86.009658,55972,4904
4438,34.690971,-85.798045,37083,11630
7095,34.576765,-85.95005,31675,4612
3042,33.579067,-86.72257,30492,5324
2735,33.543834,-86.753862,22038,9762
3338,33.564104,-86.776474,23737,2647
2864,33.541655,-86.768956,17137,4111
2577,33.554684,-86.80388,14645,4273
3859,33.551638,-86.826924,23657,5015
5355,33.54119,-86.878862,34073,6320
2876,33.529113,-86.864392,26033,5249
2181,33.526543,-86.834971,26406,3154
3189,33.530619,-86.819466,18911,2417
3390,33.537359,-86.803795,25132,6562
1894,33.5551,-86.737945,21639,3471
3885,33.558379,-86.719316,24417,9164
3186,33.56638,-86.71366,30819,3540
2630,33.552417,-86.727612,26513,2800
2936,33.540576,-86.728847,24054,5805
2952,33.533654,-86.746384,61944,18850
3259,33.523357,-86.749389,56015,2556
3629,33.525117,-86.77436,25824,5183
3992,33.51969,-86.807696,18524,2357
2064,33.514815,-86.834056,14351,4251
3779,33.511772,-86.857519,32708,3560
2203,33.512492,-86.844279,21044,3367
3637,33.505708,-86.874401,31625,6637
931,33.509778,-86.886557,17176,7716
947,33.514817,-86.889982,21116,8340
2477,33.503999,-86.901587,24246,7575
2795,33.504948,-86.922879,25682,7420
4683,33.48505,-86.898167,41012,8007
5063,33.496699,-86.890324,28006,7738
5409,33.479739,-86.888714,32919,5444
4199,33.486014,-86.868874,26563,6990
1783,33.497355,-86.867016,21545,2614
3772,33.495015,-86.851994,16796,3574
2341,33.499104,-86.830101,18920,5257
5003,33.502612,-86.80267,12295,7402
3480,33.506503,-86.782747,35890,6002
2944,33.512568,-86.769768,68516,13725
1861,33.49973,-86.784046,42250,16090
1167,33.498295,-86.792484,34521,9495
3146,33.493438,-86.800983,35264,5978
3482,33.488287,-86.814253,36149,4455
1507,33.494484,-86.835188,14869,5012
2587,33.486153,-86.832552,26563,10625
3648,33.47544,-86.833988,26788,2171
3740,33.479207,-86.8563,29243,5631
3463,33.576252,-86.696985,47862,7591
2167,33.570857,-86.804204,30708,6336
4578,33.520809,-86.725514,51404,4584
2372,33.463313,-86.887911,32232,10050
3413,33.470555,-86.873365,26329,6695
4216,33.477361,-86.815308,28805,4653
4950,33.597705,-86.681723,42256,12088
5174,33.605137,-86.701576,41112,4617
2096,33.614082,-86.668308,60481,11103
4101,33.621944,-86.679125,34120,3822
2539,33.610861,-86.719669,58772,4895
5234,33.632392,-86.715593,56643,6948
5289,33.454096,-86.99776,40888,3613
4932,33.425128,-86.988579,43750,11408
2007,33.417774,-86.951044,15677,2166
2743,33.399979,-86.962933,17622,5055
2685,33.392202,-86.949389,22388,7234
4117,33.406645,-86.937419,20862,1537
3765,33.382591,-86.960568,25299,3797
1855,33.379134,-86.978665,54097,10934
1628,33.429033,-86.920775,30179,5440
6266,33.481401,-86.911094,20279,2983
2437,33.467616,-86.923498,36709,2994
2218,33.478438,-86.808002,55476,15242
4484,33.476337,-86.796997,68683,10048
2304,33.476048,-86.779928,115061,30993
4892,33.461092,-86.800568,54167,16359
3487,33.466364,-86.8117,73722,7376
4880,33.451268,-86.835029,45923,7189
5792,33.503042,-86.757272,102137,16115
3448,33.491738,-86.758271,161175,15945
6514,33.517282,-86.711899,62461,11482
2984,33.474613,-86.739082,130139,14417
7367,33.501619,-86.704783,107426,23353
4989,33.577331,-86.768516,25906,6596
5663,33.540362,-86.556167,42995,8825
2171,33.551849,-86.556284,26096,11764
7903,33.633923,-86.649422,53054,7914
10433,33.608823,-86.591251,84428,3202
4548,33.617277,-86.626148,67149,6588
4123,33.643199,-86.586337,72864,14826
5677,33.70904,-86.605388,70889,13769
8018,33.675982,-86.602475,68942,12278
2087,33.685739,-86.66493,60089,18350
5686,33.7346,-86.649509,75641,10296
5010,33.66093,-86.672517,51641,6646
3975,33.66847,-86.649847,68235,9112
3221,33.6557,-86.692162,30824,7090
3820,33.668056,-86.695045,38021,9071
3621,33.755936,-86.706792,39340,5776
6267,33.77018,-86.788251,66864,6947
6581,33.808534,-86.856538,45577,8499
5902,33.738538,-86.9954,55870,7819
4027,33.672465,-86.901661,53688,12912
9111,33.646962,-86.836948,58750,6128
3984,33.703309,-86.847582,69704,7457
7695,33.650795,-86.796718,51462,6444
2394,33.699234,-86.738394,42995,7961
7512,33.640869,-86.669309,41840,9209
4802,33.629287,-86.696189,46185,3795
2978,33.646508,-86.697736,43358,5069
2957,33.624677,-86.75286,18588,3537
2337,33.594608,-86.736218,43505,4355
4408,33.592101,-86.889028,60185,6901
6387,33.599843,-86.818302,46857,7027
4146,33.603457,-86.936661,46587,6953
3024,33.603376,-86.969585,44142,3956
4160,33.552857,-87.149358,45739,9496
3829,33.523666,-87.053321,50682,3490
2611,33.501948,-86.965037,50750,6029
7947,33.481721,-86.981735,68547,10984
3737,33.56394,-86.883245,54000,8574
3077,33.56034,-86.903383,38429,5375
3592,33.582803,-86.966157,43566,8674
4454,33.537252,-86.952639,35992,5660
2973,33.565151,-86.679103,36250,5849
3537,33.545933,-86.65079,45795,11308
5593,33.474401,-86.682655,144464,20201
2131,33.503921,-86.598321,78600,12838
2759,33.460016,-86.738807,64929,8450
4734,33.459139,-86.725205,61481,11221
4277,33.450488,-86.776228,120526,23465
6671,33.418262,-86.786195,63939,9100
4831,33.398394,-86.773887,55707,11088
4746,33.400146,-86.798821,42865,5358
3347,33.426652,-86.733283,61399,9104
5757,33.43384,-86.760847,112042,21282
5473,33.383831,-86.793416,35801,3738
4614,33.377048,-86.790524,50875,7461
1927,33.456281,-86.79352,49526,11287
6083,33.433694,-86.800129,61676,7283
1514,33.465232,-86.857652,22021,5374
4508,33.447909,-86.88944,21223,1936
2292,33.462098,-86.907825,45565,7344
3588,33.433909,-86.932291,23831,4354
4838,33.456996,-86.936096,49010,4632
3511,33.44179,-86.942992,26034,2806
2122,33.412855,-86.973183,21451,6442
1704,33.468626,-86.958537,37216,2792
2141,33.445013,-86.981392,37198,10682
4011,33.470751,-87.056853,51107,9196
3656,33.414711,-87.04078,63892,11848
4918,33.410333,-87.148621,60960,4238
3317,33.347042,-87.020387,52159,9063
4186,33.357922,-86.993368,49338,7369
12502,33.301176,-86.98728,88399,6352
9787,33.336938,-86.897753,90288,11199
2802,33.362418,-86.957891,41085,2915
5666,33.407018,-86.882682,72188,11041
5433,33.432428,-86.81836,68650,9499
3929,33.421262,-86.829825,49886,10194
5759,33.405113,-86.8295,81935,10751
3648,33.367374,-86.812135,51577,5302
3309,33.392415,-86.816362,67354,21018
5180,33.34991,-86.842924,68725,19021
4162,33.401437,-86.849521,80245,9406
8852,33.374703,-86.852,91327,8260
4689,33.919354,-88.121108,36389,6242
5713,33.75894,-88.116278,33112,4366
4162,33.591614,-88.087706,38207,6025
1959,34.805418,-87.673756,14817,4944
1953,34.797264,-87.681375,16250,5953
1513,34.798057,-87.689592,14932,4289
2871,34.814863,-87.691612,29907,12376
2740,34.811251,-87.673273,22136,6433
2098,34.810432,-87.651104,20313,8784
3797,34.817998,-87.633365,26958,3008
7081,34.830813,-87.656475,38302,6288
4612,34.82826,-87.681312,26921,2045
5919,34.866172,-87.69216,50724,12260
4465,34.852745,-87.683902,47667,9266
4023,34.848982,-87.793789,42054,7496
2353,34.935575,-87.947319,39688,11742
6563,34.929766,-87.778881,40897,3838
6260,34.84662,-87.611911,64838,7382
5231,34.918003,-87.645098,34286,14335
5073,34.962698,-87.521201,47286,12621
4478,34.89551,-87.535463,54283,5872
6610,34.853834,-87.478699,59146,6680
4480,34.912196,-87.39193,48288,3873
4922,34.910405,-87.288847,47957,10039
3708,34.816693,-87.290527,43333,8732
1668,34.645768,-87.178739,33819,7515
4655,34.67983,-87.363119,34988,3104
4615,34.567672,-87.399864,45074,8679
4514,34.484395,-87.271793,28924,6486
6071,34.567398,-87.204768,39830,10243
5481,34.527248,-87.148258,47552,8936
2124,34.412221,-87.155709,45882,9768
3269,34.461516,-87.315474,45456,6384
1942,34.464797,-87.451379,35550,11707
5133,32.61002,-85.464016,35912,5447
2470,32.601997,-85.470184,24716,7680
6960,32.581579,-85.481453,35074,9582
7652,32.572485,-85.465977,89299,6584
4152,32.619198,-85.505698,33319,8042
988,32.593945,-85.5188,15278,8484
5146,32.575827,-85.517216,17998,2936
3977,32.599535,-85.490767,23750,6317
3750,32.607979,-85.491605,13125,2666
3264,32.627978,-85.483366,57722,12396
5201,32.619306,-85.472487,31635,3291
7236,32.628471,-85.550219,47292,9488
9042,32.638316,-85.429817,43352,4385
4400,32.672737,-85.3812,70948,5501
3325,32.647841,-85.393905,38750,8675
3565,32.633088,-85.384367,21728,3228
3226,32.655195,-85.362473,21954,2310
8528,32.616032,-85.351615,41744,4693
6705,32.697849,-85.227132,46942,5119
7623,32.58626,-85.139753,52143,7729
6621,32.522705,-85.043524,66487,6914
3645,32.488515,-85.13749,57066,6229
